Conversion run started at 2026-05-19 23:29:40
Working directory: /home/gpca/daltoolboxdp
[2026-05-19 23:29:44] phase=rmd->md status=ok duration=4.583s file=Rmd/autoencoder/01_autoenc_e.Rmd
[2026-05-19 23:29:45] phase=rmd->md status=ok duration=0.664s file=Rmd/autoencoder/02_autoenc_denoise_e.Rmd
[2026-05-19 23:29:46] phase=rmd->md status=ok duration=0.790s file=Rmd/autoencoder/03_autoenc_conv_e.Rmd
[2026-05-19 23:29:47] phase=rmd->md status=ok duration=0.913s file=Rmd/autoencoder/04_autoenc_lstm_e.Rmd
[2026-05-19 23:29:47] phase=rmd->md status=ok duration=0.739s file=Rmd/autoencoder/05_autoenc_stacked_e.Rmd
[2026-05-19 23:29:48] phase=rmd->md status=ok duration=0.594s file=Rmd/autoencoder/06_autoenc_variational_e.Rmd
[2026-05-19 23:29:52] phase=rmd->md status=ok duration=3.958s file=Rmd/autoencoder/07_autoenc_adv_e.Rmd
[2026-05-19 23:29:53] phase=rmd->md status=ok duration=0.538s file=Rmd/autoencoder/11_autoenc_ed.Rmd
[2026-05-19 23:29:53] phase=rmd->md status=ok duration=0.541s file=Rmd/autoencoder/12_autoenc_denoise_ed.Rmd
[2026-05-19 23:29:54] phase=rmd->md status=ok duration=0.765s file=Rmd/autoencoder/13_autoenc_conv_ed.Rmd
[2026-05-19 23:29:55] phase=rmd->md status=ok duration=0.868s file=Rmd/autoencoder/14_autoenc_lstm_ed.Rmd
[2026-05-19 23:29:55] phase=rmd->md status=ok duration=0.752s file=Rmd/autoencoder/15_autoenc_stacked_ed.Rmd
[2026-05-19 23:29:56] phase=rmd->md status=ok duration=0.597s file=Rmd/autoencoder/16_autoenc_variational_ed.Rmd
[2026-05-19 23:30:00] phase=rmd->md status=ok duration=3.920s file=Rmd/autoencoder/17_autoenc_adv_ed.Rmd
[2026-05-19 23:30:01] phase=rmd->md status=ok duration=1.164s file=Rmd/autoencoder/21_autoenc_ed_static_patience.Rmd
[2026-05-19 23:30:02] phase=rmd->md status=ok duration=0.491s file=Rmd/autoencoder/22_autoenc_ed_dynamic_patience.Rmd
[2026-05-19 23:30:02] phase=rmd->md status=ok duration=0.011s file=Rmd/autoencoder/README.Rmd
[2026-05-19 23:30:02] phase=rmd->md status=ok duration=0.491s file=Rmd/classification/01_skcla_knn.Rmd
[2026-05-19 23:30:03] phase=rmd->md status=ok duration=0.443s file=Rmd/classification/02_skcla_nb.Rmd
[2026-05-19 23:30:03] phase=rmd->md status=ok duration=0.264s file=Rmd/classification/03_skcla_svc.Rmd
[2026-05-19 23:30:03] phase=rmd->md status=ok duration=0.418s file=Rmd/classification/04_skcla_rf.Rmd
[2026-05-19 23:30:04] phase=rmd->md status=ok duration=0.562s file=Rmd/classification/05_skcla_gb.Rmd
[2026-05-19 23:30:04] phase=rmd->md status=ok duration=0.576s file=Rmd/classification/06_skcla_mlp.Rmd
[2026-05-19 23:30:08] phase=rmd->md status=ok duration=3.745s file=Rmd/classification/07_torch_cla_mlp.Rmd
[2026-05-19 23:30:09] phase=rmd->md status=ok duration=1.337s file=Rmd/classification/08_torch_cla_mlp_dynamic_patience.Rmd
[2026-05-19 23:30:09] phase=rmd->md status=ok duration=0.009s file=Rmd/classification/README.Rmd
[2026-05-19 23:30:09] phase=rmd->md status=ok duration=0.009s file=Rmd/README.Rmd
[2026-05-19 23:30:20] phase=rmd->md status=ok duration=10.069s file=Rmd/regression/01_torch_reg_mlp.Rmd
[2026-05-19 23:30:23] phase=rmd->md status=ok duration=3.595s file=Rmd/regression/02_torch_reg_mlp_static_patience.Rmd
[2026-05-19 23:30:24] phase=rmd->md status=ok duration=1.192s file=Rmd/regression/03_torch_reg_mlp_dynamic_patience.Rmd
[2026-05-19 23:30:24] phase=rmd->md status=ok duration=0.009s file=Rmd/regression/README.Rmd
[2026-05-19 23:30:26] phase=rmd->md status=ok duration=1.176s file=Rmd/timeseries/01_ts_encode.Rmd
[2026-05-19 23:30:26] phase=rmd->md status=ok duration=0.641s file=Rmd/timeseries/02_ts_encode-decode.Rmd
[2026-05-19 23:30:31] phase=rmd->md status=ok duration=4.580s file=Rmd/timeseries/11_torch_ts_mlp.Rmd
[2026-05-19 23:30:33] phase=rmd->md status=ok duration=2.170s file=Rmd/timeseries/12_ts_conv1d.Rmd
[2026-05-19 23:30:36] phase=rmd->md status=ok duration=2.838s file=Rmd/timeseries/13_ts_lstm.Rmd
[2026-05-19 23:30:39] phase=rmd->md status=ok duration=2.942s file=Rmd/timeseries/21_ts_lstm_static_patience.Rmd
[2026-05-19 23:30:41] phase=rmd->md status=ok duration=2.062s file=Rmd/timeseries/22_ts_lstm_dynamic_patience.Rmd
[2026-05-19 23:30:41] phase=rmd->md status=ok duration=0.010s file=Rmd/timeseries/README.Rmd
[2026-05-19 23:30:42] phase=rmd->docx status=ok duration=1.246s file=Rmd/autoencoder/01_autoenc_e.Rmd
